x,y,xm,ym,i
1,1,0,0,0
2,1,30,0,0
3,1,60,0,3
4,1,90,0,7
5,1,120,0,9
6,1,150,0,1
7,1,180,0,14
1,2,0,30,5
2,2,30,30,0
3,2,60,30,16
4,2,90,30,0
5,2,120,30,2
6,2,150,30,0
7,2,180,30,6
1,3,0,60,2
2,3,30,60,1
3,3,60,60,0
4,3,90,60,8
5,3,120,60,0
6,3,150,60,52
7,3,180,60,16
1,4,0,90,9
2,4,30,90,1
3,4,60,90,3
4,4,90,90,6
5,4,120,90,0
6,4,150,90,1
7,4,180,90,9
1,5,0,120,3
2,5,30,120,0
3,5,60,120,4
4,5,90,120,0
5,5,120,120,8
6,5,150,120,27
7,5,180,120,14
1,6,0,150,20
2,6,30,150,2
3,6,60,150,0
4,6,90,150,0
5,6,120,150,0
6,6,150,150,0
7,6,180,150,102
1,7,0,180,6
2,7,30,180,3
3,7,60,180,5
4,7,90,180,0
5,7,120,180,16
6,7,150,180,21
7,7,180,180,6
1,8,0,210,6
2,8,30,210,8
3,8,60,210,9
4,8,90,210,3
5,8,120,210,0
6,8,150,210,71
7,8,180,210,1
1,9,0,240,4
2,9,30,240,1
3,9,60,240,18
4,9,90,240,2
5,9,120,240,0
6,9,150,240,23
7,9,180,240,0
