x,y,xm,ym,t,i,n
1,1,0,0,1996,0,1
1,2,0,1.8,1996,0,1
1,3,0,3.6,1996,0,1
1,4,0,5.4,1996,0,1
1,5,0,7.2,1996,0,1
1,6,0,9,1996,0,1
1,7,0,10.8,1996,0,1
1,8,0,12.6,1996,0,1
1,9,0,14.4,1996,0,1
1,10,0,16.2,1996,0,1
1,11,0,18,1996,0,1
1,12,0,19.8,1996,0,1
1,13,0,21.6,1996,0,1
1,14,0,23.4,1996,1,1
1,15,0,25.2,1996,0,1
1,16,0,27,1996,0,1
1,17,0,28.8,1996,0,1
1,18,0,30.6,1996,0,1
1,19,0,32.4,1996,1,1
1,20,0,34.2,1996,1,1
1,21,0,36,1996,0,1
1,22,0,37.8,1996,0,1
1,23,0,39.6,1996,0,1
1,24,0,41.4,1996,0,1
1,25,0,43.2,1996,0,1
1,26,0,45,1996,0,1
1,27,0,46.8,1996,0,1
1,28,0,48.6,1996,1,1
1,29,0,50.4,1996,1,1
1,30,0,52.2,1996,1,1
1,31,0,54,1996,1,1
1,32,0,55.8,1996,1,1
1,33,0,57.6,1996,1,1
1,34,0,59.4,1996,1,1
1,35,0,61.2,1996,1,1
1,36,0,63,1996,1,1
1,37,0,64.8,1996,1,1
1,38,0,66.6,1996,1,1
1,39,0,68.4,1996,1,1
1,40,0,70.2,1996,0,1
1,41,0,72,1996,0,1
1,42,0,73.8,1996,1,1
1,43,0,75.6,1996,0,1
1,44,0,77.4,1996,0,1
1,45,0,79.2,1996,0,1
1,46,0,81,1996,0,1
1,47,0,82.8,1996,1,1
1,48,0,84.6,1996,1,1
1,49,0,86.4,1996,0,1
1,50,0,88.2,1996,0,1
1,51,0,90,1996,0,1
2,1,2.1,0,1996,0,1
2,2,2.1,1.8,1996,1,1
2,3,2.1,3.6,1996,0,1
2,4,2.1,5.4,1996,1,1
2,5,2.1,7.2,1996,0,1
2,6,2.1,9,1996,0,1
2,7,2.1,10.8,1996,1,1
2,8,2.1,12.6,1996,1,1
2,9,2.1,14.4,1996,1,1
2,10,2.1,16.2,1996,0,1
2,11,2.1,18,1996,0,1
2,12,2.1,19.8,1996,1,1
2,13,2.1,21.6,1996,0,1
2,14,2.1,23.4,1996,1,1
2,15,2.1,25.2,1996,1,1
2,16,2.1,27,1996,0,1
2,17,2.1,28.8,1996,0,1
2,18,2.1,30.6,1996,0,1
2,19,2.1,32.4,1996,0,1
2,20,2.1,34.2,1996,0,1
2,21,2.1,36,1996,0,1
2,22,2.1,37.8,1996,0,1
2,23,2.1,39.6,1996,0,1
2,24,2.1,41.4,1996,0,1
2,25,2.1,43.2,1996,0,1
2,26,2.1,45,1996,0,1
2,27,2.1,46.8,1996,0,1
2,28,2.1,48.6,1996,0,1
2,29,2.1,50.4,1996,0,1
2,30,2.1,52.2,1996,0,1
2,31,2.1,54,1996,1,1
2,32,2.1,55.8,1996,1,1
2,33,2.1,57.6,1996,0,1
