pattern,mu,x,y,r,n
clumped,0.25,1,1,2,100
clumped,0.25,2,1,1,100
clumped,0.25,3,1,7,100
clumped,0.25,4,1,4,100
clumped,0.25,5,1,3,100
clumped,0.25,6,1,3,100
clumped,0.25,7,1,1,100
clumped,0.25,8,1,12,100
clumped,0.25,9,1,32,100
clumped,0.25,10,1,35,100
clumped,0.25,11,1,6,100
clumped,0.25,12,1,6,100
clumped,0.25,1,2,5,100
clumped,0.25,2,2,5,100
clumped,0.25,3,2,20,100
clumped,0.25,4,2,24,100
clumped,0.25,5,2,37,100
clumped,0.25,6,2,9,100
clumped,0.25,7,2,2,100
clumped,0.25,8,2,24,100
clumped,0.25,9,2,72,100
clumped,0.25,10,2,61,100
clumped,0.25,11,2,22,100
clumped,0.25,12,2,3,100
clumped,0.25,1,3,11,100
clumped,0.25,2,3,25,100
clumped,0.25,3,3,75,100
clumped,0.25,4,3,69,100
clumped,0.25,5,3,35,100
clumped,0.25,6,3,15,100
clumped,0.25,7,3,34,100
clumped,0.25,8,3,34,100
clumped,0.25,9,3,95,100
clumped,0.25,10,3,97,100
clumped,0.25,11,3,60,100
clumped,0.25,12,3,20,100
clumped,0.25,1,4,1,100
clumped,0.25,2,4,13,100
clumped,0.25,3,4,82,100
clumped,0.25,4,4,74,100
clumped,0.25,5,4,14,100
clumped,0.25,6,4,24,100
clumped,0.25,7,4,48,100
clumped,0.25,8,4,48,100
clumped,0.25,9,4,96,100
clumped,0.25,10,4,97,100
clumped,0.25,11,4,92,100
clumped,0.25,12,4,28,100
clumped,0.25,1,5,2,100
clumped,0.25,2,5,5,100
clumped,0.25,3,5,36,100
clumped,0.25,4,5,16,100
clumped,0.25,5,5,6,100
clumped,0.25,6,5,4,100
clumped,0.25,7,5,12,100
clumped,0.25,8,5,21,100
clumped,0.25,9,5,43,100
clumped,0.25,10,5,47,100
clumped,0.25,11,5,33,100
clumped,0.25,12,5,7,100
clumped,0.25,1,6,3,100
clumped,0.25,2,6,2,100
clumped,0.25,3,6,20,100
clumped,0.25,4,6,4,100
clumped,0.25,5,6,5,100
clumped,0.25,6,6,4,100
clumped,0.25,7,6,10,100
