plot,variety,irrigation,x,y,t,i,n
1A,Burwood-Prize,overhead-sprays,1,1,1,0,1
1A,Burwood-Prize,overhead-sprays,1,1,2,0,1
1A,Burwood-Prize,overhead-sprays,1,1,3,1,1
1A,Burwood-Prize,overhead-sprays,1,1,4,1,1
1A,Burwood-Prize,overhead-sprays,1,1,5,1,1
1A,Burwood-Prize,overhead-sprays,1,1,6,1,1
1A,Burwood-Prize,overhead-sprays,1,2,1,0,1
1A,Burwood-Prize,overhead-sprays,1,2,2,0,1
1A,Burwood-Prize,overhead-sprays,1,2,3,1,1
1A,Burwood-Prize,overhead-sprays,1,2,4,1,1
1A,Burwood-Prize,overhead-sprays,1,2,5,1,1
1A,Burwood-Prize,overhead-sprays,1,2,6,1,1
1A,Burwood-Prize,overhead-sprays,1,3,1,0,1
1A,Burwood-Prize,overhead-sprays,1,3,2,0,1
1A,Burwood-Prize,overhead-sprays,1,3,3,1,1
1A,Burwood-Prize,overhead-sprays,1,3,4,1,1
1A,Burwood-Prize,overhead-sprays,1,3,5,1,1
1A,Burwood-Prize,overhead-sprays,1,3,6,1,1
1A,Burwood-Prize,overhead-sprays,1,4,1,0,1
1A,Burwood-Prize,overhead-sprays,1,4,2,0,1
1A,Burwood-Prize,overhead-sprays,1,4,3,0,1
1A,Burwood-Prize,overhead-sprays,1,4,4,0,1
1A,Burwood-Prize,overhead-sprays,1,4,5,0,1
1A,Burwood-Prize,overhead-sprays,1,4,6,0,1
1A,Burwood-Prize,overhead-sprays,1,5,1,0,1
1A,Burwood-Prize,overhead-sprays,1,5,2,0,1
1A,Burwood-Prize,overhead-sprays,1,5,3,0,1
1A,Burwood-Prize,overhead-sprays,1,5,4,0,1
1A,Burwood-Prize,overhead-sprays,1,5,5,1,1
1A,Burwood-Prize,overhead-sprays,1,5,6,1,1
1A,Burwood-Prize,overhead-sprays,1,6,1,0,1
1A,Burwood-Prize,overhead-sprays,1,6,2,0,1
1A,Burwood-Prize,overhead-sprays,1,6,3,0,1
1A,Burwood-Prize,overhead-sprays,1,6,4,0,1
1A,Burwood-Prize,overhead-sprays,1,6,5,0,1
1A,Burwood-Prize,overhead-sprays,1,6,6,1,1
1A,Burwood-Prize,overhead-sprays,1,7,1,0,1
1A,Burwood-Prize,overhead-sprays,1,7,2,0,1
1A,Burwood-Prize,overhead-sprays,1,7,3,1,1
1A,Burwood-Prize,overhead-sprays,1,7,4,1,1
1A,Burwood-Prize,overhead-sprays,1,7,5,1,1
1A,Burwood-Prize,overhead-sprays,1,7,6,1,1
1A,Burwood-Prize,overhead-sprays,1,8,1,0,1
1A,Burwood-Prize,overhead-sprays,1,8,2,0,1
1A,Burwood-Prize,overhead-sprays,1,8,3,0,1
1A,Burwood-Prize,overhead-sprays,1,8,4,0,1
1A,Burwood-Prize,overhead-sprays,1,8,5,0,1
1A,Burwood-Prize,overhead-sprays,1,8,6,0,1
1A,Burwood-Prize,overhead-sprays,1,9,1,0,1
1A,Burwood-Prize,overhead-sprays,1,9,2,0,1
1A,Burwood-Prize,overhead-sprays,1,9,3,1,1
1A,Burwood-Prize,overhead-sprays,1,9,4,1,1
1A,Burwood-Prize,overhead-sprays,1,9,5,1,1
1A,Burwood-Prize,overhead-sprays,1,9,6,1,1
1A,Burwood-Prize,overhead-sprays,1,10,1,0,1
1A,Burwood-Prize,overhead-sprays,1,10,2,0,1
1A,Burwood-Prize,overhead-sprays,1,10,3,1,1
1A,Burwood-Prize,overhead-sprays,1,10,4,1,1
1A,Burwood-Prize,overhead-sprays,1,10,5,1,1
1A,Burwood-Prize,overhead-sprays,1,10,6,1,1
1A,Burwood-Prize,overhead-sprays,1,11,1,0,1
1A,Burwood-Prize,overhead-sprays,1,11,2,0,1
1A,Burwood-Prize,overhead-sprays,1,11,3,0,1
1A,Burwood-Prize,overhead-sprays,1,11,4,0,1
1A,Burwood-Prize,overhead-sprays,1,11,5,0,1
1A,Burwood-Prize,overhead-sprays,1,11,6,0,1
1A,Burwood-Prize,overhead-sprays,1,12,1,0,1
1A,Burwood-Prize,overhead-sprays,1,12,2,1,1
1A,Burwood-Prize,overhead-sprays,1,12,3,1,1
1A,Burwood-Prize,overhead-sprays,1,12,4,1,1
1A,Burwood-Prize,overhead-sprays,1,12,5,1,1
1A,Burwood-Prize,overhead-sprays,1,12,6,1,1
1A,Burwood-Prize,overhead-sprays,1,13,1,0,1
1A,Burwood-Prize,overhead-sprays,1,13,2,1,1
1A,Burwood-Prize,overhead-sprays,1,13,3,1,1
1A,Burwood-Prize,overhead-sprays,1,13,4,1,1
1A,Burwood-Prize,overhead-sprays,1,13,5,1,1
1A,Burwood-Prize,overhead-sprays,1,13,6,1,1
1A,Burwood-Prize,overhead-sprays,1,14,1,0,1
1A,Burwood-Prize,overhead-sprays,1,14,2,0,1
1A,Burwood-Prize,overhead-sprays,1,14,3,0,1
1A,Burwood-Prize,overhead-sprays,1,14,4,0,1
1A,Burwood-Prize,overhead-sprays,1,14,5,0,1
